showRate,movieId,subBoxOffice,releaseDay,boxRateshowZero,dailyBoxOffice,movieName
0.47,64996,163,12,0.13,False,2.7,绑架冰激凌
0.88,248659,36,5,0.11,False,2.2,失控
0.01,64673,473,211,0.03,False,0.6,替身传奇乐翻天
0.17,245983,15138,40,0.02,False,0.5,大笑江湖
0.01,79146,1570,78,0.02,False,0.4,第一书记
0.04,917,21037,54,0.01,False,0.2,哈利·波特与死亡圣器（上)
0.03,164,6391,64,0.01,False,0.2,危情时速
0.02,248634,2420,75,0.01,False,0.1,密室之不可告人
0.02,28237,0,-91,0.01,False,0.1,激战运钞车
0.04,67674,52,14,0.00,False,0.1,医生的假日
0.01,286,25078,755,0.00,False,0.1,非诚勿扰
29.71,407,2703,2,39.57,False,742.7,创：战纪
20.62,29933,5870,6,22.79,False,427.8,纳尼亚传奇3：黎明踏浪号
22.93,182,59707,28,19.98,False,375.0,让子弹飞
18.87,3,43225,22,14.61,False,274.3,非诚勿扰2
2.91,341590,2706,-1696,1.29,False,24.3,午夜邂逅
0.70,59335,350,224,0.43,False,8.1,前度
1.62,49553,601,13,0.37,False,7.0,一路有你
0.25,19,18159,40,0.31,False,5.9,赵氏孤儿
0.81,540,341,-345,0.19,False,3.6,恋人絮语
0.93,248659,38,6,0.11,False,2.1,失控
0.44,64996,165,13,0.11,False,2.0,绑架冰激凌
0.01,64673,473,212,0.04,False,0.7,替身传奇乐翻天
0.01,79146,1570,79,0.02,False,0.4,第一书记
0.14,245983,15139,41,0.02,False,0.4,大笑江湖
0.00,207,0,1294,0.02,False,0.4,宝葫芦的秘密
0.00,61823,177,68,0.02,False,0.3,西游新传：大电影
0.00,382,13256,114,0.01,False,0.2,精武风云·陈真
0.00,245851,0,1526,0.01,False,0.2,代课老师
0.03,917,21037,55,0.01,False,0.2,哈利·波特与死亡圣器（上)
0.01,338500,20,1189,0.01,False,0.2,革命到底
28.88,407,3487,3,38.76,False,783.5,创：战纪
21.39,29933,6357,7,24.09,False,487.0,纳尼亚传奇3：黎明踏浪号
22.90,182,60108,29,19.86,False,401.5,让子弹飞
18.74,3,43516,23,14.37,False,290.6,非诚勿扰2
2.94,341590,2732,-1695,1.30,False,26.4,午夜邂逅
0.74,59335,358,225,0.40,False,8.1,前度
1.61,49553,609,14,0.39,False,7.9,一路有你
0.90,540,345,-344,0.21,False,4.3,恋人絮语
0.88,248659,41,7,0.13,False,2.7,失控
0.47,64996,167,14,0.10,False,2.0,绑架冰激凌
0.00,64673,475,213,0.09,False,1.8,替身传奇乐翻天
0.26,19,18161,41,0.09,False,1.7,赵氏孤儿
0.01,52781,82,1109,0.04,False,0.7,对岸的战争
